date;latinName;englishName;class;color
09-26;Ss. Cypriani et Justinae Martyrum;Ss. Cyprian and Justina, Virgin, Martrys;IV. classis;red
09-27;Ss. Cosmae et Damiani Martyrum;Ss. Cosmas and Damian, Martyrs;III. classis;red
09-28;S. Wenceslai Ducis et Martyris;St. Wenceslaus, Duke & Martyr;III. classis;red
09-29;In Dedicatione S. Michaaelis Archangelis;The Dedication of St. Michael the Archangel;I. classis;white
09-30;S. Hieronymi Presbyteris Confessoris et Ecclesiae Doctoris;St. Jerome, Priest, Confessor & Doctor;III. classis;white
10-01;S. Remigii Episcopi et Confessoris;St. Remigius, Bishop & Confessor;IV. classis;white
10-02;Ss. Angelorum Custodum;Holy Guardian Angels;III. classis;white
10-03;S. Theresiae a Jesu Infante Virginis;St. Teresa of the Child Jesus, Virgin;III. classis;white
10-04;S. Francisci Confessoris;St. Francis of Assisi, Confessor;III. classis;white
10-05;Ss. Placidi et Sociorum Martyrum;St. Placid & Companions, Martyrs;IV. classis;red
10-06;S. Brunonis Confessoris;St. Bruno, Confessor;III. classis;white
10-07;Beatae Mariae Virginis a Rosario;Our Lady of the Rosary;II. classis;white
10-07;S. Marci Papae;St. Mark I, Pope and Confessor;IV. classis;white
10-08;S. Birgittae Viduae;St. Bridget of Sweden;III. classis;white
10-09;S. Joannis Leonardi Confessoris;St. John Leonardi, Confessor;III. classis;white
10-09;S. Dionysii Episcopi, Rustici et Eleutherii, Martyrum;St. Dionisius, Bishop, Rusticus and Eleutherius, Martyrs;IV. classis;red
10-10;S. Francisci Borgiae Confessoris;St. Francis Borgia, Confessor;III. classis;white
10-11;Maternitatis Beatae Mariae Virginis;Motherhood of the Blessed Virgin Mary;II. classis;white
10-13;S. Eduardi Regis Confessoris;St. Edward the Confessor, King;III. classis;white
10-14;S. Callisti Papae et Martyris;St. Callistus I, Pope and Martyr;III. classis;red
10-15;S. Teresiae Virginis;St. Teresa of Avila, Virgin;III. classis;white
10-16;S. Hedwigis Viduae;St. Hedwig, Widow;III. classis;white
10-17;S. Margaritae Mariae Alacoque Virginis;St. Margaret Mary Alocoque, Virgin;III. classis;white
10-18;S. Lucae Evangelistae;St. Luke the Evangelist;II. classis;red
10-19;S. Petri de Alcantara Confessoris;St. Peter of Alcantara, Confessor;III. classis;white
10-20;S. Joannis Cantii Confessoris;St. John Cantius, Confessor;III. classis;white
10-21;;St. Ursula and Companions, Virgins and Martyrs;IV. classis;white
10-21;S. Hilarionis Abbatis;St. Hilarion, Abbot;IV. classis;white
10-23;S. Antonii Mariae Claret Episcopi et Confessoris;St. Anthony Mary Claret, Bishop & Confessor;III. classis;white
10-24;S. Raphaaelis Archangeli;St. Raphael the Archangel;III. classis;white
10-25;S. Isidore Agricola, Confessoris;St. Isidore the Farmer, Confessor;III. classis;white
10-25;Ss. Chrysanthi et Dariae Martyrum;Ss. Chrysanthus and Daria, Martyrs;IV. classis;red
10-26;S. Evaristi Papae et Martyris;St. Evaristus, Pope Martyr;IV. classis;red
10-28;Ss. Simonis et Judae Apostolorum;Ss. Simon and Jude, Apostles;II. classis;red
11-01;Omnium Sanctorum;All Saints;I. classis;white
11-02;In Commemoratione Omnium Fidelium Defunctorum;Commemoration of All Souls;I. classis;black
11-04;S. Caroli Episcopi et Confessoris;St. Charles Borromeo, Bishop;III. classis;white
11-04;Ss. Vitalis et Agricolae, Martyrum;Ss. Vitalis and Agricola, Martyrs;IV. classis;red
11-08;Ss. Quatuor Coronatorum Martyrum;Four Holy Crowned Martyrs;IV. classis;red
11-09;In Dedicatione Basilicae Ss. Salvatoris;The Dedication of the Archbasilica of the Most Holy Savior;II. classis;white
11-09;S. Theodori Martyris;St. Theodore, Martyr;IV. classis;red
11-10;S. Andreae Avellini Confessoris;St. Andrew Avellino, Confessor;III. classis;white
11-10;Ss. Tryphonis et Sociorum Maertyrum;Ss. Tryphon, Respicius, and Nympha (Virgin), Martyrs;IV. classis;red
11-11;S. Martini Episcopi et Confessoris;St. Martin of Tours, Bishop & Confessor;III. classis;white
11-11;S. Mennae Martyris;St. Mennas, Martyrs;IV. classis;red
11-12;S. Martini Papae et Martyris;St. Martin I, Pope & Martyr;III. classis;red
11-13;S. Frances Xavier Cabrini, Virginis;(USA) St. Frances Xavier Cabrini, Virgin;III. classis;white
11-13;S. Didaci Confessoris;St. Didacus, Confessor;III. classis;white
11-14;S. Josaphat Episcopi et Martyris;St. Josephat, Bishop and Martyr;III. classis;red
11-15;S. Alberti Magni Episcopi Confessoris et Ecclesiae Doctoris;St. Albert the Great, Bishop, Confessor & Doctor;III. classis;white
11-16;S. Gertrudis Virginis;St. Gertrude the Great, Virgin;III. classis;white
11-17;S. Gregorii Thaumaturgi Episcopi et Confessoris;St. Gregory the Wonderworker, Bishop and Confessor;III. classis;white
11-18;In Dedicatione Basilicarum Ss. Apostolorum Petri et Pauli;The Dedication of the Basilicas of Ss. Peter and Paul;III. classis;white
11-19;S. Elisabeth Viduae;St. Elizabeth, Widow;III. classis;white
11-19;S. Pontiani Papae et Martyris;St. Pontian, Pope and Martyr;IV. classis;red
11-20;S. Felicis de Valois Confessoris;St. Felix of Valois, Confessor;III. classis;white
