date;latinName;englishName;class;color
05-27;S. Joannis Papae et Martyris;St. John I, Pope and Martyr;IV. classis;red
05-28;St. Augustini Episcopi et Confessoris;St. Augustine, Bishop & Confessor;III. classis;white
05-29;S. Mariae Magdalenae de Pazzis Virginis;St. Mary Magdalene de Pazzi, Virgin;III. classis;white
05-30;S. Felicis I Papae et Martyris;St. Felix I, Pope & Martyr;IV. classis;red
05-31;Beatae Mariae Virginis Reginae;Queenship of Blessed Virgin Mary;II. classis;white
05-31;S. Petronillae Virginis;St. Petronilla, Virgin;IV. classis;white
06-01;S. Angelae Mericiae Virginis;St. Angela Marici, Virgin;III. classis;white
06-02;Ss. Marcellini, Petri, atque Erasmi Martyrum;Ss. Marcellinus, Peter and Erasmus, Martyrs;IV. classis;red
06-04;S. Francisci Caracciolo Confessoris;St. Franciscus Caracciolo, Confessor;III. classis;white
06-05;S. Bonifatii Episcopi et Martyris;St. Bonifase, Bishop & Martyr;III. classis;red
06-06;S. Norberti Episcopi et Confessoris;St. Norbert, Bishop & Confessor;III. classis;white
06-09;Ss. Primi et Feliciani Martyrum;Ss. Primus and Felician, Martyrs;IV. classis;red
06-10;S. Margaritae Reginae Viduae;St. Margaret, Queen of Scotland;III. classis;white
06-11;S. Barnabae Apostoli;St. Barnabas, Apostle;III. classis;red
06-12;S. Joannis a S. Facundo Confessoris;St. John of San Facundo, Confessor;III. classis;white
06-12;Ss. Basilidus, Cyrinus, Naborus and Nazarius, Martyrs;Ss. Basilidus, Cyrinus, Naborus and Nazarius, Martyrs;IV. classis;red
06-13;S. Antonii de Padua Confessoris et Ecclesiae Doctoris;St. Anthony of Padua, Confessor & Doctor of the Church;III. classis;white
06-14;S. Basilii Magni Confessoris et Ecclesiae Doctoris;St. Basil the Great, Bishop, Confessor & Doctor of the Church;III. classis;white
06-15;Ss. Viti, Modesti atque Crescentiae Martyrum;Ss. Vitus and Companions, Martyrs;IV. classis;red
06-17;S. Gregorii Barbadici Episcopi et Confessoris;St. Gregory Barbarigo, Bishop;III. classis;white
06-18;S. Ephraem Syri Confessoris et Ecclesiae Doctoris;St. Ephrem the Syrian, Confessor & Doctor of the Church;III. classis;white
06-18;SS. Marci et Marcelliani Martyrum;Ss. Marcus and Marcellianus, Martyrs;IV. classis;red
06-19;S. Julianae de Falconeriis Virginis;St. Juliana Falconieri, Virgin;III. classis;white
06-19;Ss. Gervasii et Protasii Martyrum;Ss. Gervasius and Protasius, Martyrs;IV. classis;red
06-20;S. Silverii Papae et Martyris;St. Silverius, Pop & Martyr;IV. classis;red
06-21;S. Aloisii Gonzagae Confessoris;St. Aloysius Gonzaga, Confessor;III. classis;white
06-22;S. Paulini Episcopi et Confessoris;St. Paulinus of Nola, Bishop & Confessor;III. classis;white
06-23;In Vigilia S. Joannis Baptistae;Vigil of the Nativity of St. John the Baptist;II. classis;purple
06-24;In Nativitate S. Joannis Baptistae;The Nativity of St. John the Baptist;I. classis;white
06-25;S. Gulielmi Abbatis;St. William, Abbot;III. classis;white
06-26;Ss. Joannis et Pauli Martyrum;Ss. John and Paul, Martyrs;III. classis;red
06-27;BMV Auxilium Perpetuum;Our Lady of Perpetual Help;IV. classis;white
06-28;In Vigilia Ss. Petri et Pauli Apostolorum;Vigil of Ss. Peter and Paul, Apostles;II. classis;purple
06-29;Ss. Apostolorum Petri et Pauli;Ss. Peter and Paul, Apostles;I. classis;red
06-30;In Commemoratione S. Pauli Apostoli;The Commemoration of St. Paul, Apostle;III. classis;red
07-01;Pretiosissimi Sanguinis Domini Nostri Jesu Christi;The Most Precious Blood of our Lord Jesus Christ;I. classis;red
07-02;In Visitatione B. Mariae Virginis;The Visitation of the Blessed Virgin Mary;II. classis;white
07-02;Ss. Processi et Martiniani Martyrum;Ss. Processus and Martinianus, Martyrs;IV. classis;red
07-03;S. Irenaei Episcopi et Martyris;St. Irenaeus, Bishop & Martyr;III. classis;red
07-04;In Commemoratione Omnium Sanctis Papis;Commemoration of All Holy Popes;IV. classis;red
07-05;S. Antonii Mariae Zaccaria Confessoris;St. Anthony Mary Zaccaria, Confessor;III. classis;white
07-06;S. Mariae Goretti, Virginis et Martyris;St. Maria Goretti, Virgin & Martyr;III. classis;red
07-07;Ss. Cyrilli et Methodii Pont. et Conf.;Ss. Cyril and Methodius, Bishops and Confessors;III. classis;white
07-08;S. Elisabeth Reg. Portugaliae Viduae;St. Elizabeth of Portugal, Queen, Widow;III. classis;white
07-10;Ss. Septem Fratrum Martyrum, ac Rufinae et Secundae Virginum et Martyrum;Ss. Seven Brothers Martyrs, and Rufina and Secunda, Virgins and Martyrs;III. classis;red
07-11;S. Pii I Papae et Martyris;St. Pius I, Pope & Martyr;IV. classis;red
07-12;S. Joannis Gualberti Abbatis;St. John Gualbert, Abbot;III. classis;white
07-12;Ss. Naboris et Felicis Martyrum;Ss. Nabor and Felix, Martyrs;IV. classis;red
07-14;S. Bonaventurae Episcopi Confessoris et Ecclesiae Doctoris;St. Bonaventure, Bishop, Confessor & Doctor of the Church;III. classis;white
07-15;S. Henrici Imperatoris Confessoris;St. Henry II, Emperor, Confessor;III. classis;white
07-16;Beatae Mariae Virginis de Monte Carmelo;Blessed Virgin Mary of the Mount Carmel;IV. classis;white
07-17;S. Alexii Confessoris;St. Alexius, Confessor;IV. classis;white
07-18;S. Camilli de Lellis Confessoris;St. Camillus de Lellis, Confessor;III. classis;white
07-18;Ss. Symphorosa et Septem Filiis Martyribus;St. Symphorosa and her Seven Sons, Martyrs;IV. classis;red
07-19;S. Vincentii a Paulo Confessoris;St. Vincent de Paul, Confessor;III. classis;white
07-20;S. Hieronymi aemiliani Confessoris;St. Jerome Emiliani, Confessor;III. classis;white
07-20;S. Margaritae, Virginis et Martyris;St. Margaret, Virgin and Martyr;IV. classis;red
07-21;S. Laurentii a Brundusio Confessoris et Ecclesiae Doctoris;St. Lawrence of Brindisi, Doctor of the Church;III. classis;white
07-21;S. Praxedis Virginis;St. Praxedes, Virgin;IV. classis;white
07-22;S. Mariae Magdalenae Paenitentis;St. Mary Magdalene, Penitent;III. classis;white
07-23;S. Apollinaris Episcopi et Martyris;St. Apollinarius, Bishop & Martyr;III. classis;red
07-23;S. Liborii Episcopi et Confessoris;St. Liborius, Bishop and Confessor;IV. classis;white
07-24;S. Christinae Virginis et Martyris;St. Christina, Virgin & Martyr;IV. classis;red
07-24;S. Christophori Martyris;St. Chrisophor, Martyr;IV. classis;red
07-25;S. Jacobi Apostoli;St. James the Greater, Apostle;II. classis;red
07-26;S. Annae Matris B.M.V.;St. Anne, Mother of the Blessed Virgin Mary;II. classis;white
07-27;S. Pantaleonis Martyris;St. Pantaleon, Martyr;IV. classis;red
07-28;Ss. Nazarii et Celsi Martyrum, Victoris I Papae et Martyris ac Innocentii I Papae et Confessoris;Ss. Nazarius and Celsus, Martyrs, Victor I, Pope and Martyr, and St. Innocent I, Pope and Confessor;III. classis;red
07-29;S. Marthae Virginis;St. Martha, Virgin;III. classis;white
07-29;Ss. Felicis, Simplicii, Faustini et Beatricis Maertyrum;Ss. Felix, Simplicius, Faustinus, and Beatrice, Martyrs;IV. classis;red
07-30;S. Abdon et Sennen Martyrum;St. Abdon and Sennen, Martyrs;IV. classis;red
07-31;S. Ignatii Confessoris;St. Ignatius Loyola, Confessor;III. classis;white
08-01;Ss. Martyrum Machabaeorum;Holy Machabees, Martyrs;IV. classis;red
08-01;St. Petrus ad Vincula;St. Peter in Chains;IV. classis;red
08-02;S. Alfonsi Mariae de Ligorio Episc. Conf. et Eccles. Doct.;St. Alphonsus Liguori, Bishop, Confessor & Doctor of the Church;III. classis;white
08-02;S. Stephani Papae et Martyris;St. Stephen I, Pope and Martyr;IV. classis;red
08-04;S. Dominici Confessoris;St. Dominic, Confessor;III. classis;white
